t,t+1
0.743357750493174,0.837662133840504
0.837662133840504,0.945562221753718
0.945562221753718,1.06865544874588
1.06865544874588,1.20787337107066
1.20787337107066,1.36250844114391
1.36250844114391,1.52859342400439
1.52859342400439,1.69668640719195
1.69668640719195,1.84984762251786
1.84984762251786,1.96382809683583
1.96382809683583,2.01207235651166
2.01207235651166,1.975666737908
1.975666737908,1.8528310058009
1.8528310058009,1.66032519584082
1.66032519584082,1.42548853543691
1.42548853543691,1.17556508756151
1.17556508756151,0.930995010180295
0.930995010180295,0.703953457199406
0.703953457199406,0.499907299735048
0.499907299735048,0.319902585508058
0.319902585508058,0.162470501735456
0.162470501735456,0.024909265433734
0.024909265433734,-0.09594997566281
-0.09594997566281,-0.203322241350612
-0.203322241350612,-0.300255723754183
-0.300255723754183,-0.389536137510357
-0.389536137510357,-0.473653042089706
-0.473653042089706,-0.554794763020509
-0.554794763020509,-0.634850800392152
-0.634850800392152,-0.715406553283413
-0.715406553283413,-0.797717229105837
-0.797717229105837,-0.882647742703176
-0.882647742703176,-0.97056517535659
-0.97056517535659,-1.06117298162535
-1.06117298162535,-1.15328662434749
-1.15328662434749,-1.24457568293837
-1.24457568293837,-1.33134352671803
-1.33134352671803,-1.40847757698867
-1.40847757698867,-1.4697502683362
-1.4697502683362,-1.5086190877739
-1.5086190877739,-1.51949900418591
-1.51949900418591,-1.49918579711547
-1.49918579711547,-1.44787577680193
-1.44787577680193,-1.36929616813399
-1.36929616813399,-1.26986798603083
-1.26986798603083,-1.15729062640653
-1.15729062640653,-1.03912594551229
-1.03912594551229,-0.921801921400529
-0.921801921400529,-0.810155175691789
-0.810155175691789,-0.707406879093459
-0.707406879093459,-0.61538949762953
-0.61538949762953,-0.534867223268038
-0.534867223268038,-0.465852469461459
-0.465852469461459,-0.407873252137734
-0.407873252137734,-0.360179410644043
-0.360179410644043,-0.321892055140062
-0.321892055140062,-0.292106623681653
-0.292106623681653,-0.269960655049921
-0.269960655049921,-0.254675971900625
-0.254675971900625,-0.245583005393527
-0.245583005393527,-0.242133144848377
-0.242133144848377,-0.243903478118352
-0.243903478118352,-0.250597121407494
-0.250597121407494,-0.262041476539733
-0.262041476539733,-0.27818614245741
-0.27818614245741,-0.299101795355594
-0.299101795355594,-0.324981096144266
-0.324981096144266,-0.356142545401693
-0.356142545401693,-0.393038135018005
-0.393038135018005,-0.436265557916155
-0.436265557916155,-0.486585466075615
-0.486585466075615,-0.544943473619618
-0.544943473619618,-0.612494606332179
-0.612494606332179,-0.69062338364654
-0.69062338364654,-0.780943249952922
-0.780943249952922,-0.885240493153713
-0.885240493153713,-1.00529400690259
-1.00529400690259,-1.14244746715708
-1.14244746715708,-1.29673982800319
-1.29673982800319,-1.46536110693935
-1.46536110693935,-1.64034630057046
-1.64034630057046,-1.80605169876743
-1.80605169876743,-1.9382798666362
-1.9382798666362,-2.00810564989467
-2.00810564989467,-1.99184531162039
-1.99184531162039,-1.88266020696319
-1.88266020696319,-1.69474107172902
-1.69474107172902,-1.45622647949713
-1.45622647949713,-1.19714029377855
-1.19714029377855,-0.940833982752749
-0.940833982752749,-0.701555898273771
-0.701555898273771,-0.485908778555439
-0.485908778555439,-0.295403145012543
-0.295403145012543,-0.12865171801584
-0.12865171801584,0.017147887654369
0.017147887654369,0.145331911795846
0.145331911795846,0.259290436409153
0.259290436409153,0.362226317064557
0.362226317064557,0.457046413605367
0.457046413605367,0.546320521934272
0.546320521934272,0.632269408443842
0.632269408443842,0.716757687453378
0.716757687453378,0.801274346748618
0.801274346748618,0.886886777236233
0.886886777236233,0.974155878736356
0.974155878736356,1.06300321656394
1.06300321656394,1.15253047584672
1.15253047584672,1.24081196041041
1.24081196041041,1.32471683792962
1.32471683792962,1.39986567947708
1.39986567947708,1.46086352761088
1.46086352761088,1.50193314014219
1.50193314014219,1.51794776873185
1.51794776873185,1.50564012238824
1.50564012238824,1.46456291887446
1.46456291887446,1.39737925708464
1.39737925708464,1.30933574534987
1.30933574534987,1.20715163519097
1.20715163519097,1.09777571874014
1.09777571874014,0.987406007252543
0.987406007252543,0.880945622268978
0.880945622268978,0.781860734249336
0.781860734249336,0.692305403260746
0.692305403260746,0.613373267405327
0.613373267405327,0.54537647598347
0.54537647598347,0.488097736624582
0.488097736624582,0.440994473542353
0.440994473542353,0.403352947007809
0.403352947007809,0.374398690733472
0.374398690733472,0.353372188646981
0.353372188646981,0.33957844912028
0.33957844912028,0.33241781574767
0.33241781574767,0.331403839102265
0.331403839102265,0.336172674010666
0.336172674010666,0.346487365597358
0.346487365597358,0.362239544380487
0.362239544380487,0.383450428323943
0.383450428323943,0.410272577485533
0.410272577485533,0.442993503012777
0.442993503012777,0.482041908844828
0.482041908844828,0.527996893916407
0.527996893916407,0.581599594540964
0.581599594540964,0.643764996556954
0.643764996556954,0.71558807138121
0.71558807138121,0.798331374466267
0.798331374466267,0.893368188750521
0.893368188750521,1.00203266249431
1.00203266249431,1.12529331662345
1.12529331662345,1.26312295178414
1.26312295178414,1.41341479795024
1.41341479795024,1.57037698811515
1.57037698811515,1.72269091155356
1.72269091155356,1.85248601352342
1.85248601352342,1.93704370478568
1.93704370478568,1.95476128033003
1.95476128033003,1.89384893068787
1.89384893068787,1.7583149609947
1.7583149609947,1.56640431783207
1.56640431783207,1.34277792755698
1.34277792755698,1.11026864113739
1.11026864113739,0.885408062296956
0.885408062296956,0.677849703983399
0.677849703983399,0.491816376890592
0.491816376890592,0.327953620205337
0.327953620205337,0.184845367076354
0.184845367076354,0.060041916251433
0.060041916251433,-0.049313928463903
-0.049313928463903,-0.146134426468149
-0.146134426468149,-0.233204217174826
-0.233204217174826,-0.313097213058045
-0.313097213058045,-0.388149254429991
-0.388149254429991,-0.460459817799227
-0.460459817799227,-0.531906065133222
-0.531906065133222,-0.604157679834247
-0.604157679834247,-0.678682787747578
-0.678682787747578,-0.756734658020444
-0.756734658020444,-0.839306324538771
-0.839306324538771,-0.927036454871465
-0.927036454871465,-1.02004648039298
-1.02004648039298,-1.11769044472217
-1.11769044472217,-1.21821372371816
-1.21821372371816,-1.31835779391754
-1.31835779391754,-1.41302730975558
-1.41302730975558,-1.49524360649731
-1.49524360649731,-1.55668214679816
-1.55668214679816,-1.58900178279996
-1.58900178279996,-1.58581367070623
-1.58581367070623,-1.54462032258231
-1.54462032258231,-1.46779745344128
-1.46779745344128,-1.36206840923208
