t-19,t-18,t-17,t-16,t-15,t-14,t-13,t-12,t-11,t-10,t-9,t-8,t-7,t-6,t-5,t-4,t-3,t-2,t-1,t,t+1
-0.281306749830031,-0.310550999618977,-0.342858347742642,-0.378537572856557,-0.417920756775427,-0.461361858244588,-0.509233739335501,-0.561923037226463,-0.619822095276882,-0.683316957567858,-0.752770199996964,-0.828497142242517,-0.910733805232102,-0.999594930029422,-1.09502058702669,-1.1967105701609,-1.30404714135346,-1.41600904998308,-1.53108333690253,-1.64718626731283,-1.76161038027482
-0.310550999618977,-0.342858347742642,-0.378537572856557,-0.417920756775427,-0.461361858244588,-0.509233739335501,-0.561923037226463,-0.619822095276882,-0.683316957567858,-0.752770199996964,-0.828497142242517,-0.910733805232102,-0.999594930029422,-1.09502058702669,-1.1967105701609,-1.30404714135346,-1.41600904998308,-1.53108333690253,-1.64718626731283,-1.76161038027482,-1.87101988124632
-0.342858347742642,-0.378537572856557,-0.417920756775427,-0.461361858244588,-0.509233739335501,-0.561923037226463,-0.619822095276882,-0.683316957567858,-0.752770199996964,-0.828497142242517,-0.910733805232102,-0.999594930029422,-1.09502058702669,-1.1967105701609,-1.30404714135346,-1.41600904998308,-1.53108333690253,-1.64718626731283,-1.76161038027482,-1.87101988124632,-1.97151924634013
-0.378537572856557,-0.417920756775427,-0.461361858244588,-0.509233739335501,-0.561923037226463,-0.619822095276882,-0.683316957567858,-0.752770199996964,-0.828497142242517,-0.910733805232102,-0.999594930029422,-1.09502058702669,-1.1967105701609,-1.30404714135346,-1.41600904998308,-1.53108333690253,-1.64718626731283,-1.76161038027482,-1.87101988124632,-1.97151924634013,-2.05881696175076
-0.417920756775427,-0.461361858244588,-0.509233739335501,-0.561923037226463,-0.619822095276882,-0.683316957567858,-0.752770199996964,-0.828497142242517,-0.910733805232102,-0.999594930029422,-1.09502058702669,-1.1967105701609,-1.30404714135346,-1.41600904998308,-1.53108333690253,-1.64718626731283,-1.76161038027482,-1.87101988124632,-1.97151924634013,-2.05881696175076,-2.12849489820504
-0.461361858244588,-0.509233739335501,-0.561923037226463,-0.619822095276882,-0.683316957567858,-0.752770199996964,-0.828497142242517,-0.910733805232102,-0.999594930029422,-1.09502058702669,-1.1967105701609,-1.30404714135346,-1.41600904998308,-1.53108333690253,-1.64718626731283,-1.76161038027482,-1.87101988124632,-1.97151924634013,-2.05881696175076,-2.12849489820504,-2.17637286966489
-0.509233739335501,-0.561923037226463,-0.619822095276882,-0.683316957567858,-0.752770199996964,-0.828497142242517,-0.910733805232102,-0.999594930029422,-1.09502058702669,-1.1967105701609,-1.30404714135346,-1.41600904998308,-1.53108333690253,-1.64718626731283,-1.76161038027482,-1.87101988124632,-1.97151924634013,-2.05881696175076,-2.12849489820504,-2.17637286966489,-2.19893030656772
-0.561923037226463,-0.619822095276882,-0.683316957567858,-0.752770199996964,-0.828497142242517,-0.910733805232102,-0.999594930029422,-1.09502058702669,-1.1967105701609,-1.30404714135346,-1.41600904998308,-1.53108333690253,-1.64718626731283,-1.76161038027482,-1.87101988124632,-1.97151924634013,-2.05881696175076,-2.12849489820504,-2.17637286966489,-2.19893030656772,-2.19372047344058
-0.619822095276882,-0.683316957567858,-0.752770199996964,-0.828497142242517,-0.910733805232102,-0.999594930029422,-1.09502058702669,-1.1967105701609,-1.30404714135346,-1.41600904998308,-1.53108333690253,-1.64718626731283,-1.76161038027482,-1.87101988124632,-1.97151924634013,-2.05881696175076,-2.12849489820504,-2.17637286966489,-2.19893030656772,-2.19372047344058,-2.15969830680718
-0.683316957567858,-0.752770199996964,-0.828497142242517,-0.910733805232102,-0.999594930029422,-1.09502058702669,-1.1967105701609,-1.30404714135346,-1.41600904998308,-1.53108333690253,-1.64718626731283,-1.76161038027482,-1.87101988124632,-1.97151924634013,-2.05881696175076,-2.12849489820504,-2.17637286966489,-2.19893030656772,-2.19372047344058,-2.15969830680718,-2.09739014538286
-0.752770199996964,-0.828497142242517,-0.910733805232102,-0.999594930029422,-1.09502058702669,-1.1967105701609,-1.30404714135346,-1.41600904998308,-1.53108333690253,-1.64718626731283,-1.76161038027482,-1.87101988124632,-1.97151924634013,-2.05881696175076,-2.12849489820504,-2.17637286966489,-2.19893030656772,-2.19372047344058,-2.15969830680718,-2.09739014538286,-2.00886421111673
-0.828497142242517,-0.910733805232102,-0.999594930029422,-1.09502058702669,-1.1967105701609,-1.30404714135346,-1.41600904998308,-1.53108333690253,-1.64718626731283,-1.76161038027482,-1.87101988124632,-1.97151924634013,-2.05881696175076,-2.12849489820504,-2.17637286966489,-2.19893030656772,-2.19372047344058,-2.15969830680718,-2.09739014538286,-2.00886421111673,-1.89750604831184
-0.910733805232102,-0.999594930029422,-1.09502058702669,-1.1967105701609,-1.30404714135346,-1.41600904998308,-1.53108333690253,-1.64718626731283,-1.76161038027482,-1.87101988124632,-1.97151924634013,-2.05881696175076,-2.12849489820504,-2.17637286966489,-2.19893030656772,-2.19372047344058,-2.15969830680718,-2.09739014538286,-2.00886421111673,-1.89750604831184,-1.7676472662796
-0.999594930029422,-1.09502058702669,-1.1967105701609,-1.30404714135346,-1.41600904998308,-1.53108333690253,-1.64718626731283,-1.76161038027482,-1.87101988124632,-1.97151924634013,-2.05881696175076,-2.12849489820504,-2.17637286966489,-2.19893030656772,-2.19372047344058,-2.15969830680718,-2.09739014538286,-2.00886421111673,-1.89750604831184,-1.7676472662796,-1.62412344063142
-1.09502058702669,-1.1967105701609,-1.30404714135346,-1.41600904998308,-1.53108333690253,-1.64718626731283,-1.76161038027482,-1.87101988124632,-1.97151924634013,-2.05881696175076,-2.12849489820504,-2.17637286966489,-2.19893030656772,-2.19372047344058,-2.15969830680718,-2.09739014538286,-2.00886421111673,-1.89750604831184,-1.7676472662796,-1.62412344063142,-1.47184059225723
-1.1967105701609,-1.30404714135346,-1.41600904998308,-1.53108333690253,-1.64718626731283,-1.76161038027482,-1.87101988124632,-1.97151924634013,-2.05881696175076,-2.12849489820504,-2.17637286966489,-2.19893030656772,-2.19372047344058,-2.15969830680718,-2.09739014538286,-2.00886421111673,-1.89750604831184,-1.7676472662796,-1.62412344063142,-1.47184059225723,-1.31541242030722
-1.30404714135346,-1.41600904998308,-1.53108333690253,-1.64718626731283,-1.76161038027482,-1.87101988124632,-1.97151924634013,-2.05881696175076,-2.12849489820504,-2.17637286966489,-2.19893030656772,-2.19372047344058,-2.15969830680718,-2.09739014538286,-2.00886421111673,-1.89750604831184,-1.7676472662796,-1.62412344063142,-1.47184059225723,-1.31541242030722,-1.15890249324238
-1.41600904998308,-1.53108333690253,-1.64718626731283,-1.76161038027482,-1.87101988124632,-1.97151924634013,-2.05881696175076,-2.12849489820504,-2.17637286966489,-2.19893030656772,-2.19372047344058,-2.15969830680718,-2.09739014538286,-2.00886421111673,-1.89750604831184,-1.7676472662796,-1.62412344063142,-1.47184059225723,-1.31541242030722,-1.15890249324238,-1.00567786580916
-1.53108333690253,-1.64718626731283,-1.76161038027482,-1.87101988124632,-1.97151924634013,-2.05881696175076,-2.12849489820504,-2.17637286966489,-2.19893030656772,-2.19372047344058,-2.15969830680718,-2.09739014538286,-2.00886421111673,-1.89750604831184,-1.7676472662796,-1.62412344063142,-1.47184059225723,-1.31541242030722,-1.15890249324238,-1.00567786580916,-0.858360372485623
-1.64718626731283,-1.76161038027482,-1.87101988124632,-1.97151924634013,-2.05881696175076,-2.12849489820504,-2.17637286966489,-2.19893030656772,-2.19372047344058,-2.15969830680718,-2.09739014538286,-2.00886421111673,-1.89750604831184,-1.7676472662796,-1.62412344063142,-1.47184059225723,-1.31541242030722,-1.15890249324238,-1.00567786580916,-0.858360372485623,-0.718851445978841
-1.76161038027482,-1.87101988124632,-1.97151924634013,-2.05881696175076,-2.12849489820504,-2.17637286966489,-2.19893030656772,-2.19372047344058,-2.15969830680718,-2.09739014538286,-2.00886421111673,-1.89750604831184,-1.7676472662796,-1.62412344063142,-1.47184059225723,-1.31541242030722,-1.15890249324238,-1.00567786580916,-0.858360372485623,-0.718851445978841,-0.588404288955517
-1.87101988124632,-1.97151924634013,-2.05881696175076,-2.12849489820504,-2.17637286966489,-2.19893030656772,-2.19372047344058,-2.15969830680718,-2.09739014538286,-2.00886421111673,-1.89750604831184,-1.7676472662796,-1.62412344063142,-1.47184059225723,-1.31541242030722,-1.15890249324238,-1.00567786580916,-0.858360372485623,-0.718851445978841,-0.588404288955517,-0.467720535582619
-1.97151924634013,-2.05881696175076,-2.12849489820504,-2.17637286966489,-2.19893030656772,-2.19372047344058,-2.15969830680718,-2.09739014538286,-2.00886421111673,-1.89750604831184,-1.7676472662796,-1.62412344063142,-1.47184059225723,-1.31541242030722,-1.15890249324238,-1.00567786580916,-0.858360372485623,-0.718851445978841,-0.588404288955517,-0.467720535582619,-0.357054181283762
-2.05881696175076,-2.12849489820504,-2.17637286966489,-2.19893030656772,-2.19372047344058,-2.15969830680718,-2.09739014538286,-2.00886421111673,-1.89750604831184,-1.7676472662796,-1.62412344063142,-1.47184059225723,-1.31541242030722,-1.15890249324238,-1.00567786580916,-0.858360372485623,-0.718851445978841,-0.588404288955517,-0.467720535582619,-0.357054181283762,-0.256311409939481
-2.12849489820504,-2.17637286966489,-2.19893030656772,-2.19372047344058,-2.15969830680718,-2.09739014538286,-2.00886421111673,-1.89750604831184,-1.7676472662796,-1.62412344063142,-1.47184059225723,-1.31541242030722,-1.15890249324238,-1.00567786580916,-0.858360372485623,-0.718851445978841,-0.588404288955517,-0.467720535582619,-0.357054181283762,-0.256311409939481,-0.165139871131067
-2.17637286966489,-2.19893030656772,-2.19372047344058,-2.15969830680718,-2.09739014538286,-2.00886421111673,-1.89750604831184,-1.7676472662796,-1.62412344063142,-1.47184059225723,-1.31541242030722,-1.15890249324238,-1.00567786580916,-0.858360372485623,-0.718851445978841,-0.588404288955517,-0.467720535582619,-0.357054181283762,-0.256311409939481,-0.165139871131067,-0.083004573906183
-2.19893030656772,-2.19372047344058,-2.15969830680718,-2.09739014538286,-2.00886421111673,-1.89750604831184,-1.7676472662796,-1.62412344063142,-1.47184059225723,-1.31541242030722,-1.15890249324238,-1.00567786580916,-0.858360372485623,-0.718851445978841,-0.588404288955517,-0.467720535582619,-0.357054181283762,-0.256311409939481,-0.165139871131067,-0.083004573906183,-0.009249929417135
-2.19372047344058,-2.15969830680718,-2.09739014538286,-2.00886421111673,-1.89750604831184,-1.7676472662796,-1.62412344063142,-1.47184059225723,-1.31541242030722,-1.15890249324238,-1.00567786580916,-0.858360372485623,-0.718851445978841,-0.588404288955517,-0.467720535582619,-0.357054181283762,-0.256311409939481,-0.165139871131067,-0.083004573906183,-0.009249929417135,0.056851153073952
-2.15969830680718,-2.09739014538286,-2.00886421111673,-1.89750604831184,-1.7676472662796,-1.62412344063142,-1.47184059225723,-1.31541242030722,-1.15890249324238,-1.00567786580916,-0.858360372485623,-0.718851445978841,-0.588404288955517,-0.467720535582619,-0.357054181283762,-0.256311409939481,-0.165139871131067,-0.083004573906183,-0.009249929417135,0.056851153073952,0.116059542482846
-2.09739014538286,-2.00886421111673,-1.89750604831184,-1.7676472662796,-1.62412344063142,-1.47184059225723,-1.31541242030722,-1.15890249324238,-1.00567786580916,-0.858360372485623,-0.718851445978841,-0.588404288955517,-0.467720535582619,-0.357054181283762,-0.256311409939481,-0.165139871131067,-0.083004573906183,-0.009249929417135,0.056851153073952,0.116059542482846,0.169141739752472
